OSTK
AR
GRWG
NVAX
AMC
APPS
PRTS
PTEN
DKNG
CNX
CARS
HL
RRC
RIGL
CRNC
SEAS
GGAL
GME
MGNX
NIO
OCFT
TLRY
PGNY
TBIO
SPCE
PBF
CDE
RVLV
SWN
TRUE
IMVT
PSTI
SKT
DHC
MYOV
IMGN
AGEN
PBYI
CGEN
KTB
SPWR
BILL
AAL
SDC
BBBY
DK
GNW
PEB
UPWK
EB
BBIO
DNLI
CVET
DDOG
IHRT
SFIX
PDCE
BYD
VSTO
WTI
LC
GSX
KOD
IMAX
SITC
MDP
SIX
M
NVTA
XP
RUN
ZIXI
SWBI
HMY
PING
PK
RAD
ADNT
DT
ADS
BYND
TNK
AEO
LTHM
W
MYGN
TDOC
RCL
ARCO
TSLA
CADE
MLCO
CVNA
OSUR
FUTU
AMCX
ATI
SBGI
RDFN
AXL
SONO
INFN
LLNW
NAT
ANGI
FBP
ETRN
SID
AA
MRO
JWN
CRSP
NET
CLB
SBSW
UNFI
URBN
OI
MGY
RLJ
GFI
LB
Z
HGV
GLUU
ADT
NMIH
DCPH
FTCH
HFC
AIMT
LX
QDEL
CHRS
JBLU
MUR
WETF
AMRX
TPR
SE
HUYA
STNG
CHGG
SLG
DDD
ATRS
EAF
SPR
ZM
LYFT
EGHT
AYX
ROKU
SAGE
PTON
TENB
BGCP
BEST
BIG
NTRA
X
BLUE
DOCU
REZI
ELY
MGM
BILI
UNIT
LYV
CERS
EYE
AZUL
SHAK
RNG
SPG
SEM
CIT
WORK
MDLA
SQ
CRWD
SNAP
VIPS
WYNN
SMAR
JKS
AU
DOYU
PS
PVH
PDD
HIMX
PE
CLF
STNE
STL
DVN
ZUO
IMMU
OVID
